Country,CL_DistrictRes,Date,incid
Sierra Leone,KAMBIA,2015-07-16,0
Sierra Leone,KAMBIA,2015-07-17,1
Sierra Leone,KAMBIA,2015-07-18,1
Sierra Leone,KAMBIA,2015-07-19,0
Sierra Leone,KAMBIA,2015-07-20,0
Sierra Leone,KAMBIA,2015-07-21,0
Sierra Leone,KAMBIA,2015-07-22,2
Sierra Leone,KAMBIA,2015-07-23,1
Sierra Leone,KAMBIA,2015-07-24,0
Sierra Leone,KAMBIA,2015-07-25,2
Sierra Leone,KAMBIA,2015-07-26,0
Sierra Leone,KAMBIA,2015-07-27,2
Sierra Leone,KAMBIA,2015-07-28,0
Sierra Leone,KAMBIA,2015-07-29,1
Sierra Leone,KAMBIA,2015-07-30,1
Sierra Leone,KAMBIA,2015-07-31,0
Sierra Leone,KAMBIA,2015-08-01,1
Sierra Leone,KAMBIA,2015-08-02,0
Sierra Leone,KAMBIA,2015-08-03,0
Sierra Leone,KAMBIA,2015-08-04,1
Sierra Leone,KAMBIA,2015-08-05,0
Sierra Leone,KAMBIA,2015-08-06,1
Sierra Leone,KAMBIA,2015-08-07,2
Sierra Leone,KAMBIA,2015-08-08,0
Sierra Leone,KAMBIA,2015-08-09,0
Sierra Leone,KAMBIA,2015-08-10,1
Sierra Leone,KAMBIA,2015-08-11,1
Sierra Leone,KAMBIA,2015-08-12,1
Sierra Leone,KAMBIA,2015-08-13,2
Sierra Leone,KAMBIA,2015-08-14,1
Sierra Leone,KAMBIA,2015-08-15,0
Sierra Leone,KAMBIA,2015-08-16,0
Sierra Leone,KAMBIA,2015-08-17,2
Sierra Leone,KAMBIA,2015-08-18,0
Sierra Leone,KAMBIA,2015-08-19,5
Sierra Leone,KAMBIA,2015-08-20,4
Sierra Leone,KAMBIA,2015-08-21,1
Sierra Leone,KAMBIA,2015-08-22,1
Sierra Leone,KAMBIA,2015-08-23,2
Guinea,KANKAN,2014-10-10,1
Guinea,KANKAN,2014-10-11,0
Guinea,KANKAN,2014-10-12,0
Guinea,KANKAN,2014-10-13,0
Guinea,KANKAN,2014-10-14,0
Guinea,KANKAN,2014-10-15,0
Guinea,KANKAN,2014-10-16,0
Guinea,KANKAN,2014-10-17,1
Guinea,KANKAN,2014-10-18,0
Guinea,KANKAN,2014-10-19,0
Guinea,KANKAN,2014-10-20,0
Guinea,KANKAN,2014-10-21,0
Guinea,KANKAN,2014-10-22,0
Guinea,KANKAN,2014-10-23,0
Guinea,KANKAN,2014-10-24,0
Guinea,KANKAN,2014-10-25,0
Guinea,KANKAN,2014-10-26,0
Guinea,KANKAN,2014-10-27,0
Guinea,KANKAN,2014-10-28,0
Guinea,KANKAN,2014-10-29,1
Guinea,KANKAN,2014-10-30,0
