NodeName,City,StateCode,CountryCode,Lon,Lat
GAF,Gafsa,NULL,TN,8.82,34.42
GAJ,Yamagata,NULL,JP,140.37,38.41
GAL,Galena,AK,US,-156.94,64.74
GAM,Gambell,AK,US,-171.71,63.78
GAN,Gan Island,NULL,MV,73.16,-0.69
GAO,Guantanamo,NULL,CU,-75.16,20.08
GAU,Guwahati,NULL,IN,91.59,26.11
GAY,Gaya,NULL,IN,84.95,24.75
GBD,Great Bend,KS,US,-98.86,38.35
GBE,Gaborone,NULL,BW,25.92,-24.56
GBT,Gorgon,NULL,IR,54.41,36.91
GCC,Gillette,WY,US,-105.53,44.35
GCI,Guernsey,CI,GB,-2.6,49.43
GCK,Garden City,KS,US,-100.73,37.93
GCM,Grand Cayman Island,NULL,KY,-81.36,19.3
GCN,Grand Canyon,AZ,US,-112.15,35.95
GCW,NULL,NULL,US,-113.82,35.98
GDE,Gode/Iddidole,NULL,ET,43.63,5.9
GDL,Guadalajara,NULL,MX,-103.3,20.53
GDN,Gdansk,NULL,PL,18.47,54.38
GDQ,Gondar,NULL,ET,37.45,12.51
GDT,Grand Turk Island,NULL,TC,-71.13,21.47
GDV,Glendive,MT,US,-104.81,47.14
GDX,Magadan,NULL,RU,150.72,59.92
GDZ,Gelendzik,NULL,RU,38.02,44.57
GEA,Noumea,NULL,NC,166.47,-22.26
GEG,Spokane,WA,US,-117.54,47.63
GEL,Santo Angelo,RS,BR,-54.17,-28.28
GEO,Georgetown,NULL,GY,-58.25,6.5
GER,Nueva Gerona,NULL,CU,-82.78,21.84
GES,General Santos,NULL,PH,125.23,6.11
GET,Geraldton,WA,AU,114.7,-28.8
GEV,Gallivare,NULL,SE,20.82,67.13
GFF,Griffith,NSW,AU,146.06,-34.26
GFK,Grand Forks,ND,US,-97.18,47.95
GFN,Grafton,NSW,AU,153.03,-29.76
GGG,Longview,TX,US,-94.72,32.39
GGM,KAKAMEGA,NULL,KE,34.79,0.27
